"","X","time","text","user_followers","user_verified","likes","retweets"
"104","147","01/01/2023, 23:58:19","@neoaky @neonullbeepboop I mean ravioli is similar too.. you can keep your pasta status lmao",1003,0,2,0
"105","148","01/01/2023, 23:58:10","@reallyytayy Lmaooo. This has been a staple in my family as long as I can remember. Best pasta dish I’ve had outside Italy ofc",1139,0,1,0
"106","149","01/01/2023, 23:58:08","@ShitcoinSherpa Idk if this is pasta but hope you're doing better. It's been a tough few years for a lot of people… https://t.co/HDUA1bczMv",635,0,2,0
"107","150","01/01/2023, 23:57:42","Craving seafood pasta 😋",143,0,0,0
"108","151","01/01/2023, 23:57:36","@MichaelAArouet water + pasta",15,0,0,0
"109","152","01/01/2023, 23:57:32","i have so much pasta sauce in the fridge but i really want to make vegan noodle soup 🙃",190,0,0,0
"110","153","01/01/2023, 23:57:27","@DegenSpartan The best part about this pasta and my dumb CT brain is that my initial visceral reaction was not the… https://t.co/EVZ3g21DX5",2117,0,0,0
"111","154","01/01/2023, 23:57:23","@SheAdawg2 Cafe Pasta. They are so underrated",1292,0,0,0
"112","155","01/01/2023, 23:57:18","@slayisclay @kenzrrry Im on a pasta diet ,i haven’t had pasta for almost 1 month",1344,0,0,0
"113","156","01/01/2023, 23:56:47","whole adult blowing on his pasta ..",276,0,0,0
"114","157","01/01/2023, 23:56:47","Actually that’s a lie. Pasta burn feels good but it makes me tired :(

Hhhhh",16133,0,2,0
"115","158","01/01/2023, 23:56:27","@L1NOC4LS i may not be able to avoid pasta completely but i'll do my best!!",591,0,1,0
"116","159","01/01/2023, 23:55:59","Multi-Function Pasta Spaghetti Box, Kitchen Noodle Box with Cover Food Storage Container ZH1XWPD… https://t.co/64BC7xUyCE",7,0,0,0
"117","160","01/01/2023, 23:55:58","Kitchen Supply Pasta / Parsley Mincer 98RVZPT

https://t.co/lVIYdfN6FB https://t.co/09T2AgTqZl",14,0,0,0
"118","161","01/01/2023, 23:55:58","Pasta Maker Attachment for KitchenAid Stand Mixers -3 in 1 Set Pasta Attachments includes Pasta Roller, Spaghetti F… https://t.co/PFo8AO14jE",11,0,0,0
"119","162","01/01/2023, 23:55:56","TANSOO Kitchen Pasta Server, Spaghetti Spoon, Durable Food Grade Stainless Steel Pasta Spoon With Ergonomic Handle… https://t.co/y6mTRen3No",6,0,0,0
"120","164","01/01/2023, 23:55:52","Stainless Steel Tri-Ply Base Pasta Cooker,Multipots With Draining Steamer Basket And Lid (6QT pasta pot) EA9SGKA… https://t.co/m86so6DdEW",7,0,0,0
