"","X","time","text","user_followers","user_verified","likes","retweets"
"78","153","12/28/2022, 21:24:40","You walk in &amp; I’m cooking dinner like this.. what are you doing next? 🤪

Retweet &amp; ❤️ https://t.co/uCBXEl0QDs",75123,0,2909,251
"79","10406","01/04/2023, 13:01:42","Everyone will become a fan of your cooking
#cookingoil #edibleoil #banaspati #healthy 
#delicious #tasty… https://t.co/87zLuLMrQW",14,0,4,0
"80","11505","01/03/2023, 19:59:05","8. Spicy Avocado Black Bean Dip 
 ➤ https://t.co/hfXjPqxPQN #cooking #recipes #Food https://t.co/Z2uTkSM6el",1558,0,28,7
"81","8787","01/02/2023, 23:13:02","@jennypfafflin Halloween, indeed: https://t.co/T1vUNADUt8",2261,0,2,0
"82","5647","01/02/2023, 13:03:12","How to make Slow Cooker Sourdough Bread + video tutorial! #foodblog #recipes https://t.co/k0LoyI3liM",13171,0,1,0
"83","11094","01/03/2023, 20:54:41","HealthyLIFE12_: WEIGHT LOSS HEALTHY FAT SOURCES.

🖐FOLLOW LIKE SHARE🖐

👉👉CHECK OUR BIO FOR MORE #HEALTHY #FITNESS… https://t.co/XZ5iw3tx5i",6,0,0,0
"84","14019","01/03/2023, 23:59:54","@haleytalbotnbc @frankthorp Pizza by Alfredo or Alfredo's Pizza?",85,0,90,1
"85","13754","01/04/2023, 23:56:25","@evahienemann I didn’t get to see him 😢 but they’re filming all week in the park I eat lunch at so I’m gonna try and spy lol",1218,0,1,0
"86","13524","01/04/2023, 23:32:58","Garlic rolls with dinner tonight 😋 #dinner #bread #rolls #garlic #zaa https://t.co/Mj7ARtDp59",2,0,0,0
"87","13948","01/04/2023, 20:00:56","We hope you stop by for lunch on this lovely Wednesday! 🥰

#withlovemarketandcafe #withlovecafe #withlove #market… https://t.co/l6ZbS77uPh",137,0,0,0
"88","9625","01/03/2023, 23:49:13","10% off our newest blend! #whiskey #barrelaged #aged #coffee #food #country https://t.co/qc7phyC76Y",470,0,0,0
